,Year,Month,State,Location,Food,Species,Illnesses,Hospitalizations,Fatalities
139,1998,February,Nebraska,Restaurant,"Steak, Prime Rib; Potato, Baked",Clostridium perfringens,45,0.0,0.0
147,1998,February,New York,Restaurant,"Deli Meat, Multiple",Yersinia enterocolitica,9,0.0,0.0
179,1998,March,Arkansas,Grocery Store,"Chicken, Smoked",Streptococcus group A,4,4.0,
182,1998,March,California,Restaurant,"Chile Relleno, Unspecified; Rice, Unspecified; Beans, Unspecified",Salmonella enterica,4,0.0,0.0
184,1998,March,California,Private Home/Residence,"Ice Cream, Unspecified; Eggs, Other",Salmonella enterica,6,1.0,0.0
185,1998,March,California,Private Home/Residence,"Chicken, Unspecified; Rice, Unspecified; Beans, Unspecified",Clostridium perfringens,48,0.0,0.0
186,1998,March,California,Restaurant,"Fish, Ahi",Scombroid toxin,6,0.0,0.0
191,1998,March,Florida,Restaurant,"Nachos, Unspecified",Staphylococcus aureus,2,0.0,0.0
195,1998,March,Florida,Restaurant,"Chicken, Bbq",Salmonella enterica,2,0.0,0.0
199,1998,March,Florida,Restaurant,"Sandwich, Unspecified; Salad, Unspecified",Norovirus genogroup I,24,0.0,0.0
202,1998,March,Florida,Restaurant,"Pork, Bbq",Staphylococcus aureus,2,0.0,0.0
207,1998,March,Florida,,"Sauces, Unspecified",Bacillus cereus,2,0.0,0.0
209,1998,March,Florida,Restaurant,"Chicken, Unspecified",Salmonella enterica,4,0.0,0.0
210,1998,March,Florida,Restaurant,Ice,Norovirus genogroup I,7,0.0,0.0
212,1998,March,Florida,Restaurant,"Enchilada, Chicken",Salmonella enterica,3,0.0,0.0
213,1998,March,Florida,Restaurant,Ice,Norovirus genogroup I,8,0.0,0.0
214,1998,March,Florida,School/College/University,"Hot Dog, Unspecified",Salmonella enterica,2,1.0,0.0
215,1998,March,Florida,Restaurant,"Sandwich, Chicken",Staphylococcus aureus,3,0.0,0.0
218,1998,March,Florida,Restaurant,"Steak, Other",Salmonella enterica,2,0.0,0.0
221,1998,March,Florida,Private Home/Residence,"Bread, Cornbread; Chicken, Unspecified; Ham, Unspecified",Clostridium perfringens,18,0.0,0.0
225,1998,March,Hawaii,Private Home/Residence,Unspecified Fish,Ciguatoxin,2,0.0,0.0
227,1998,March,Hawaii,Restaurant,"Fish, Swordfish",Scombroid toxin,2,0.0,0.0
229,1998,March,Illinois,Restaurant,Hollandaise Sauce,Salmonella enterica,2,0.0,0.0
230,1998,March,Illinois,Restaurant,"Mixed Fruit; Roast Beef, Unspecified",Norovirus genogroup II,103,1.0,0.0
235,1998,March,Maryland,Restaurant; Catering Service,"Milkshake; Nachos, Unspecified",Norovirus genogroup I,26,0.0,0.0
250,1998,March,Minnesota,Restaurant,Pasta Salad,Shigella sonnei,30,1.0,0.0
254,1998,March,New Mexico,Restaurant,"Milk, 1% Milk Unpasteurized; Sauces, Unspecified",Staphylococcus aureus,20,3.0,0.0
272,1998,March,Ohio,Restaurant,Hollandaise Sauce,Salmonella enterica,4,1.0,0.0
274,1998,March,Oregon,Restaurant,"Chicken, Fried",Staphylococcus aureus,5,0.0,0.0
278,1998,March,Pennsylvania,Catering Service,Turkey And Stuffing,Salmonella enterica,25,1.0,0.0
281,1998,March,Texas,School/College/University,"Sandwich, Unspecified",Norovirus genogroup II,125,60.0,0.0
283,1998,March,Virginia,Restaurant,"Pie, Unspecified; Eggs, Other",Salmonella enterica,23,5.0,0.0
287,1998,March,Washington,Restaurant,"Tuna, Unspecified",Scombroid toxin,2,0.0,0.0
303,1998,April,California,Restaurant,"Pate, Unspecified",Clostridium perfringens,11,0.0,0.0
309,1998,April,Florida,Restaurant,"Rice, Spanish",Staphylococcus aureus,4,0.0,0.0
310,1998,April,Florida,,Multiple Foods,Salmonella enterica,2,0.0,0.0
311,1998,April,Florida,,Green Salad,Norovirus genogroup I,27,0.0,0.0
312,1998,April,Florida,Restaurant,"Chicken, Buffalo Wings",Salmonella enterica,4,0.0,0.0
315,1998,April,Florida,Catering Service,"Sausage, Unspecified",Clostridium perfringens,3,0.0,0.0
316,1998,April,Florida,Restaurant,"Beef, Unspecified; Potato, Unspecified",Clostridium perfringens,4,0.0,0.0
317,1998,April,Florida,Restaurant,Pita; Chicken Salad,Virus,3,1.0,0.0
319,1998,April,Florida,Restaurant,"Chicken, Other",Salmonella enterica,3,1.0,0.0
322,1998,April,Florida,Restaurant,"Crab, Unspecified; Shrimp, Unspecified",Vibrio parahaemolyticus,5,0.0,0.0
323,1998,April,Florida,Private Home/Residence,"Deviled Eggs; Salad, Unspecified",Norovirus genogroup I,12,2.0,0.0
324,1998,April,Florida,Restaurant,"Rice, Yellow",Bacillus cereus,3,0.0,0.0
326,1998,April,Florida,Restaurant,"Fish, Grouper, Unspecified; Salmon, Unspecified",Staphylococcus aureus,3,0.0,0.0
327,1998,April,Florida,Restaurant,Multiple Foods,Clostridium perfringens,6,0.0,0.0
328,1998,April,Florida,Restaurant,"Onion, Unspecified",Bacillus cereus,2,0.0,0.0
334,1998,April,Hawaii,Private Home/Residence,"Fish, Papio",Ciguatoxin,5,0.0,0.0
337,1998,April,Iowa,Restaurant,"Taco, Unspecified",Clostridium perfringens,53,0.0,0.0
339,1998,April,Louisiana,Prison/Jail,"Beets, Unspecified; Pudding, Bread",Clostridium perfringens,65,0.0,0.0
340,1998,April,Louisiana,School/College/University,Unspecified Fish,Shigella sonnei,47,5.0,0.0
352,1998,April,Massachusetts,Catering Service,"Chicken, Unspecified; Cake, Unspecified",Norovirus genogroup I,71,2.0,0.0
367,1998,April,Minnesota,Restaurant,"Ethnic Style, Unspecified",Bacillus cereus,5,0.0,0.0
368,1998,April,Multistate,,"Cereal, Oat",Salmonella enterica,209,47.0,
369,1998,April,New York,Religious Facility,"Chicken, Curry",Clostridium perfringens,12,0.0,0.0
370,1998,April,New York,Restaurant,Green Salad,Shigella boydii; Shigella sonnei,5,2.0,0.0
371,1998,April,New York,Restaurant,"Steak, Beef Tips; Seafood Newberg",Clostridium perfringens,18,0.0,0.0
378,1998,April,Ohio,Restaurant,Rice,Bacillus cereus,2,0.0,0.0
393,1998,April,Utah,Restaurant,"Fried Rice, Unspecified; Soup, Egg Drop; Egg Rolls",Salmonella enterica,22,2.0,0.0
398,1998,April,Washington,Private Home/Residence,"Oysters, Unspecified",Giardia intestinalis,3,0.0,0.0
412,1998,May,California,Private Home/Residence,"Fish, Scrod",Ciguatoxin,8,0.0,0.0
426,1998,May,Florida,Restaurant,"Salad, Unspecified",Salmonella enterica,3,0.0,0.0
427,1998,May,Florida,Restaurant,Green Salad,Norovirus genogroup I,23,0.0,0.0
436,1998,May,Florida,Restaurant,"Ground Beef, Unspecified",Staphylococcus aureus,2,0.0,0.0
437,1998,May,Florida,Restaurant,"Ethnic Style, Unspecified; Rice, Unspecified",Bacillus cereus,2,0.0,0.0
438,1998,May,Florida,Restaurant,"Gravy, Beef",Clostridium perfringens,2,0.0,0.0
441,1998,May,Florida,Restaurant,"Fried Rice, Unspecified; Chicken, Fried",Bacillus cereus,7,0.0,0.0
442,1998,May,Florida,Restaurant,"Chicken, Unspecified; Caesar Salad",Staphylococcus aureus,2,0.0,0.0
444,1998,May,Florida,Restaurant,"Sandwich, Chicken",Staphylococcus aureus,3,0.0,0.0
450,1998,May,Florida,,"Beef, Stew",Clostridium perfringens,2,0.0,0.0
451,1998,May,Florida,Restaurant,"Beef, Bbq",Staphylococcus aureus,2,0.0,0.0
453,1998,May,Florida,,"Fried Rice, Unspecified",Bacillus cereus,4,0.0,0.0
454,1998,May,Florida,Private Home/Residence,"Fish, Baracuda",Ciguatoxin,6,4.0,0.0
456,1998,May,Florida,Restaurant,"Lobster, Unspecified; Shrimp, Unspecified",Vibrio parahaemolyticus,7,0.0,0.0
459,1998,May,Hawaii,Private Home/Residence,"Fish, Goatfish (Weke), Unspecified",Ciguatoxin,2,0.0,0.0
460,1998,May,Hawaii,Restaurant,"Pork, Kalua Pig",Staphylococcus aureus,15,0.0,0.0
461,1998,May,Hawaii,Restaurant,Yellowfin Tuna,Scombroid toxin,2,0.0,0.0
465,1998,May,Illinois,Restaurant,"Lettuce-Based Salads Unspecified; Potato, Baked",Norovirus genogroup I,25,0.0,0.0
469,1998,May,Indiana,Restaurant,Coleslaw,"Escherichia coli, Shiga toxin-producing",27,6.0,0.0
470,1998,May,Iowa,Restaurant,"Deli Meat, Unspecified",Norovirus genogroup II,51,0.0,0.0
503,1998,May,Minnesota,Restaurant,"Fried Rice, Unspecified",Bacillus cereus,7,0.0,0.0
506,1998,May,Multistate,,"Ground Beef, Unspecified","Escherichia coli, Shiga toxin-producing",34,10.0,0.0
508,1998,May,Multistate,Restaurant,"Caesar Salad; Eggs, Other",Salmonella enterica,4,0.0,0.0
525,1998,May,Tennessee,Restaurant,"Salad, Unspecified",Salmonella enterica,264,12.0,0.0
529,1998,May,Texas,,"Oysters, Raw",Vibrio parahaemolyticus,400,14.0,0.0
534,1998,May,Washington,Private Home/Residence,"Mango, Unspecified",Salmonella enterica,9,3.0,0.0
539,1998,May,Wisconsin,School/College/University,Taco Or Nacho Salad,Campylobacter jejuni,16,0.0,0.0
540,1998,June,Alaska,Private Home/Residence,Unspecified Fish,Clostridium botulinum,3,3.0,0.0
542,1998,June,California,Restaurant,"Oysters, Unspecified",Vibrio parahaemolyticus,4,1.0,0.0
544,1998,June,California,,Alfalfa Sprouts,"Escherichia coli, Shiga toxin-producing",8,2.0,0.0
545,1998,June,California,Restaurant,Pasta Salad,Norovirus genogroup II,93,0.0,0.0
546,1998,June,California,Restaurant,"Fish, Ahi",Scombroid toxin,3,0.0,0.0
553,1998,June,Florida,Restaurant,"Taco, Beef",Salmonella enterica,3,1.0,0.0
554,1998,June,Florida,Restaurant,"Fried Rice, Unspecified",Bacillus cereus,2,0.0,0.0
558,1998,June,Florida,Restaurant,"Enchilada, Unspecified; Taco, Unspecified",Clostridium perfringens,5,0.0,0.0
559,1998,June,Florida,Restaurant,Shrimp Creole,Staphylococcus aureus,2,0.0,0.0
563,1998,June,Florida,Restaurant,"Rice, Unspecified; Chicken, Unspecified",Bacillus cereus,8,1.0,0.0
565,1998,June,Florida,,"Oysters, Raw",Vibrio parahaemolyticus,4,0.0,0.0
568,1998,June,Florida,Restaurant,Salad Bar,Norovirus genogroup I,11,0.0,0.0
570,1998,June,Florida,Restaurant,"Ethnic Style, Unspecified",Staphylococcus aureus,2,0.0,0.0
572,1998,June,Florida,Grocery Store,"Potato, Mashed",Salmonella enterica,2,1.0,0.0
573,1998,June,Florida,Restaurant,"Pork, Bbq",Clostridium perfringens,36,0.0,0.0
574,1998,June,Florida,Catering Service,"Unspecified Fruit; Cake, Brownie; Cookies, Unspecified",Norovirus genogroup I,24,0.0,0.0
575,1998,June,Florida,Restaurant,Yellowfin Tuna,Scombroid toxin,2,0.0,0.0
576,1998,June,Florida,Restaurant,"Crab, Unspecified",Vibrio parahaemolyticus,11,0.0,0.0
579,1998,June,Hawaii,Private Home/Residence,"Fish, Akule",Scombroid toxin,2,0.0,0.0
581,1998,June,Hawaii,Private Home/Residence,"Fish, Parrot",Ciguatoxin,3,0.0,0.0
585,1998,June,Illinois,Catering Service,Potato Salad; Macaroni Salad,"Escherichia coli, Enterotoxigenic",916,7.0,0.0
586,1998,June,Indiana,Catering Service,"Pork, Unspecified",Staphylococcus aureus,27,0.0,0.0
590,1998,June,Louisiana,Catering Service,"Bread, Cornbread Dressing; Crawfish/Crayfish, Unspecified; Eggplant Dressing",Clostridium perfringens,204,0.0,0.0
601,1998,June,Maryland,Restaurant,"Cake, Unspecified",Norovirus genogroup I,7,0.0,0.0
616,1998,June,Minnesota,Restaurant; Catering Service,"Sandwich, Ham",Norovirus genogroup I,22,0.0,0.0
618,1998,June,Minnesota,Restaurant,"Sandwich, Submarine",Norovirus genogroup I,7,0.0,0.0
620,1998,June,Minnesota,Restaurant,"Lettuce, Unspecified",Campylobacter jejuni,300,0.0,0.0
632,1998,June,New York,Restaurant,Multiple Foods,Salmonella enterica,134,10.0,0.0
633,1998,June,New York,Restaurant,Tuna Burger,Scombroid toxin,2,1.0,0.0
638,1998,June,New York,Private Home/Residence,"Chicken, Unspecified",Salmonella enterica,4,3.0,0.0
639,1998,June,North Carolina,Restaurant,"Shrimp, Unspecified",Vibrio parahaemolyticus,17,0.0,0.0
640,1998,June,Ohio,Restaurant,"Sandwich, Chicken",Salmonella enterica,49,2.0,0.0
654,1998,June,Oklahoma,Restaurant,"Oysters, Unspecified",Vibrio parahaemolyticus,8,1.0,0.0
655,1998,June,Pennsylvania,Private Home/Residence,"Ice Cream, Unspecified; Eggs, Other",Salmonella enterica,6,1.0,0.0
665,1998,June,Wisconsin,,Fruit Salad,"Escherichia coli, Shiga toxin-producing",47,10.0,0.0
667,1998,June,Wisconsin,,"Cheddar Cheese, Unspecified; Cheddar Cheese, Unpasteurized","Escherichia coli, Shiga toxin-producing",63,24.0,0.0
668,1998,June,Wisconsin,,"Turkey, Unspecified; Gravy, Unspecified",Clostridium perfringens,40,0.0,0.0
669,1998,July,Arizona,Restaurant,Chile Rellenos,Salmonella enterica,58,11.0,0.0
674,1998,July,California,,"Carnitas, Unspecified",Salmonella enterica,32,3.0,0.0
676,1998,July,California,Restaurant,"Ground Beef, Hamburger",Salmonella enterica,6,2.0,0.0
683,1998,July,Colorado,Restaurant,"Burrito, Bean",Clostridium perfringens,7,0.0,0.0
691,1998,July,Florida,,"Lasagna, Unspecified",Salmonella enterica,8,0.0,0.0
692,1998,July,Florida,Restaurant,"Fish, Dolphin",Scombroid toxin,2,0.0,0.0
693,1998,July,Florida,Restaurant,"Chicken, Unspecified",Salmonella enterica,2,1.0,0.0
697,1998,July,Florida,Restaurant,Tuna Steak,Scombroid toxin,5,0.0,0.0
698,1998,July,Florida,Restaurant,"Deli Meat, Unspecified; Lettuce, Unspecified",Norovirus genogroup I,62,0.0,0.0
699,1998,July,Florida,Restaurant,"Pork, Roasted",Clostridium perfringens,7,0.0,0.0
701,1998,July,Florida,Restaurant,"Ground Beef, Cheeseburger",Staphylococcus aureus,2,0.0,0.0
703,1998,July,Florida,Restaurant,"Steak, Prime Rib",Clostridium perfringens,12,0.0,0.0
704,1998,July,Florida,Restaurant,"Sandwich, Unspecified",Clostridium perfringens,4,0.0,0.0
705,1998,July,Florida,Restaurant,"Pizza, Meat",Staphylococcus aureus,3,0.0,0.0
706,1998,July,Florida,,"Fish, Amberjack",Ciguatoxin,18,0.0,0.0
707,1998,July,Hawaii,Private Home/Residence,Unspecified Fish,Ciguatoxin,2,0.0,0.0
708,1998,July,Hawaii,Restaurant,"Fish, Mahi Mahi",Scombroid toxin,2,0.0,0.0
709,1998,July,Hawaii,Private Home/Residence,Unspecified Fish,Ciguatoxin,3,0.0,0.0
710,1998,July,Hawaii,Restaurant,"Tuna, Unspecified",Scombroid toxin,2,0.0,0.0
711,1998,July,Illinois,Restaurant,"Cheese Sauce; Potato, Baked",Salmonella enterica,8,4.0,0.0
720,1998,July,Maine,,"Other Milk, Unpasteurized","Escherichia coli, Shiga toxin-producing",2,2.0,0.0
725,1998,July,Massachusetts,,"Fish, Baracuda",Ciguatoxin,4,4.0,0.0
740,1998,July,Minnesota,Restaurant,"Sandwich, Submarine",Norovirus genogroup I,6,0.0,0.0
746,1998,July,Multistate,Private Home/Residence,Chicken,Salmonella enterica,4,2.0,0.0
753,1998,July,New York,Restaurant,Tuna Steak,Scombroid toxin,2,0.0,0.0
764,1998,July,Ohio,Private Home/Residence,"Eggs, Unspecified",Salmonella enterica,4,0.0,0.0
774,1998,July,South Dakota,Private Home/Residence,"Other Milk, Unpasteurized",Campylobacter jejuni,6,1.0,0.0
780,1998,July,Virginia,Restaurant,"Rice, Unspecified; Ground Beef, Sausage",Staphylococcus aureus,10,0.0,0.0
787,1998,July,Wisconsin,Private Home/Residence,"Mushrooms, Unspecified",Mycotoxins,2,2.0,0.0
800,1998,August,California,,Guacamole,Shigella boydii,40,0.0,0.0
801,1998,August,California,,"Cake, Unspecified",Salmonella enterica,200,4.0,0.0
802,1998,August,Colorado,Catering Service,"Beans, Baked",Clostridium perfringens,25,0.0,0.0
803,1998,August,Connecticut,Restaurant,"Stuffed Shells, Unspecified",Salmonella enterica,5,0.0,0.0
805,1998,August,Florida,Private Home/Residence,"Fish, White",Chemical or toxin,2,0.0,0.0
806,1998,August,Florida,Restaurant,"Fish, Dolphin",Scombroid toxin,3,0.0,0.0
813,1998,August,Florida,Restaurant,"Nachos, Unspecified; Ribs, Pork",Staphylococcus aureus,2,0.0,0.0
821,1998,August,Florida,Restaurant,"Other Cheese, Unspecified",Salmonella enterica,2,1.0,0.0
824,1998,August,Florida,,"Chicken, Unspecified",Campylobacter unknown,16,1.0,0.0
825,1998,August,Florida,Restaurant,Ice,Norovirus genogroup I,40,1.0,0.0
828,1998,August,Hawaii,,"Eggs, Other",Salmonella enterica,38,3.0,0.0
836,1998,August,Iowa,Restaurant,Strawberries; Honeydew Melon,Norovirus genogroup I,41,0.0,0.0
837,1998,August,Kansas,School/College/University,"Gravy, Unspecified; Pineapple, Unspecified; Potato, Unspecified",Campylobacter jejuni,128,2.0,0.0
838,1998,August,Kentucky,,Unspecified Beverage,Norovirus genogroup I,41,1.0,0.0
839,1998,August,Louisiana,Private Home/Residence,"Cabbage, Unspecified",Pesticides,14,2.0,
840,1998,August,Louisiana,Private Home/Residence,"Rice Dishes, Unspecified",Salmonella enterica,63,9.0,0.0
852,1998,August,Maryland,Catering Service,"Canoli, Unspecified; Cream Puff",Salmonella enterica,16,2.0,
867,1998,August,Minnesota,,"Chicken, Kiev",Salmonella enterica,15,0.0,0.0
870,1998,August,Minnesota,Restaurant,"Parsley, Unspecified","Escherichia coli, Enteropathogenic",66,0.0,0.0
878,1998,August,New Mexico,Catering Service,"Chicken, Milan",Clostridium perfringens,50,0.0,0.0
879,1998,August,New York,Restaurant,Tuna Burger,Scombroid toxin,2,0.0,0.0
881,1998,August,New York,Grocery Store,Macaroni Salad,"Escherichia coli, Shiga toxin-producing",19,1.0,0.0
882,1998,August,New York,Restaurant,"Fish, Bluefish",Scombroid toxin,5,0.0,0.0
900,1998,August,Texas,Private Home/Residence,"Ice Cream, Homemade",Salmonella enterica,11,11.0,0.0
901,1998,August,Virginia,Prison/Jail,"Chicken, Unspecified",Salmonella enterica,41,0.0,0.0
902,1998,August,Washington,Restaurant,"Oysters, Unspecified",Vibrio parahaemolyticus,2,0.0,0.0
910,1998,August,Wisconsin,Religious Facility,"Tamale, Unspecified",Clostridium perfringens,33,0.0,0.0
913,1998,September,California,Restaurant,"Fried Rice, Unspecified",Bacillus cereus,11,5.0,0.0
914,1998,September,California,Restaurant,"Salsa, Unspecified",Shigella sonnei,318,4.0,0.0
915,1998,September,California,Restaurant,"Crab, Cooked",Salmonella enterica,23,1.0,0.0
916,1998,September,Colorado,Private Home/Residence,"Crab, Unspecified",Vibrio cholerae,6,1.0,
926,1998,September,Florida,Private Home/Residence,"Hot Dog, Unspecified",Salmonella enterica,4,0.0,0.0
927,1998,September,Florida,Restaurant,"Pizza, Meat And Vegetable",Staphylococcus aureus,4,0.0,0.0
930,1998,September,Florida,Restaurant,Unspecified Fruit,Norovirus genogroup I,270,5.0,0.0
931,1998,September,Florida,Restaurant,"Pork, Roasted",Clostridium perfringens,14,0.0,0.0
936,1998,September,Georgia,Restaurant,"Chicken, Unspecified",Shigella sonnei,34,1.0,0.0
940,1998,September,Hawaii,Private Home/Residence,"Fish, Palani (Surgeon)",Ciguatoxin,2,0.0,0.0
955,1998,September,Maryland,Restaurant,"Multiple Cheeses, Unspecified",Norovirus genogroup II,258,4.0,0.0
969,1998,September,Nevada,Catering Service,"Pasta, Unspecified",Salmonella enterica,71,4.0,
972,1998,September,New York,Private Home/Residence,"Ground Beef, Meatballs",Salmonella enterica,5,1.0,
979,1998,September,Ohio,,"Bear, Unspecified",Trichinella spiralis,8,1.0,0.0
983,1998,September,Oregon,Catering Service,"Beef, Unspecified",Clostridium perfringens,250,0.0,0.0
985,1998,September,Pennsylvania,Restaurant,"Chicken Salad; Tuna Salad; Lettuce, Unspecified; Carrots, Unspecified",Salmonella enterica,2,1.0,0.0
988,1998,September,Virginia,,"Salad, Unspecified",Virus,18,0.0,0.0
995,1998,September,Wisconsin,Restaurant,"Eggs, Unspecified",Salmonella enterica,3,0.0,0.0
998,1998,October,California,Private Home/Residence,"Chile Relleno, Unspecified",Salmonella enterica,19,2.0,0.0
999,1998,October,California,Nursing Home/Assisted Living Facility,"Eggs, Unspecified",Salmonella enterica,4,4.0,1.0
1001,1998,October,California,Restaurant,Turkey Salad,Salmonella enterica,15,1.0,0.0
1002,1998,October,California,Private Home/Residence,"Tuna, Unspecified",Clostridium botulinum,3,3.0,0.0
1011,1998,October,Florida,Restaurant,Sour Cream; Guacamole,Bacillus cereus,2,0.0,0.0
1013,1998,October,Florida,Restaurant,"Chicken, Unspecified",Staphylococcus aureus,3,0.0,0.0
1017,1998,October,Florida,,"Seafood, Other",Vibrio parahaemolyticus,3,0.0,0.0
1018,1998,October,Florida,Restaurant,"Eggs, Unspecified",Salmonella enterica,2,2.0,0.0
1019,1998,October,Florida,Private Home/Residence,Multiple Foods,Norovirus genogroup I,14,0.0,0.0
1025,1998,October,Florida,Restaurant,"Ethnic Style, Unspecified",Staphylococcus aureus,2,0.0,0.0
1026,1998,October,Florida,Restaurant,"Rice, Unspecified; Pork, Unspecified; Beans, Unspecified","Escherichia coli, Shiga toxin-producing",16,1.0,0.0
1027,1998,October,Florida,Restaurant,Seafood Salad,Norovirus genogroup I,19,0.0,0.0
1028,1998,October,Hawaii,,"Fish, Mahi Mahi",Scombroid toxin,2,0.0,0.0
1029,1998,October,Hawaii,Private Home/Residence,"Fish Eggs, Unspecified",Ciguatoxin,6,0.0,0.0
1032,1998,October,Hawaii,Catering Service,"Pork, Kalua Pig",Clostridium perfringens,48,0.0,0.0
1033,1998,October,Illinois,Catering Service,"Chicken, Tandori",Salmonella enterica,43,2.0,0.0
1051,1998,October,Massachusetts,,Raw Milk,Salmonella enterica,47,2.0,0.0
1059,1998,October,Minnesota,Restaurant,Pasta-Based Salads Unspecified,Norovirus genogroup I,23,0.0,0.0
1060,1998,October,Minnesota,Catering Service,"Pork, Roasted",Salmonella enterica,17,2.0,0.0
1062,1998,October,Multistate,,"Hot Dog, Unspecified",Listeria monocytogenes,101,101.0,21.0
1064,1998,October,New Jersey,Catering Service,Stuffing/Gravy,Clostridium perfringens,40,0.0,0.0
1069,1998,October,New York,School/College/University,"Chicken, Marsala; Tuna, Unspecified",Scombroid toxin,38,0.0,0.0
1089,1998,October,Wisconsin,Restaurant,"Fish, Escolar",Scombroid toxin,18,11.0,0.0
1091,1998,November,California,Private Home/Residence,"Cake, Chocolate",Salmonella enterica; Salmonella enterica; Salmonella enterica,16,0.0,0.0
1095,1998,November,California,Restaurant,Potato Salad,Salmonella enterica,17,0.0,0.0
1103,1998,November,Florida,Restaurant,Pork Fried Rice,Bacillus cereus,2,1.0,0.0
1106,1998,November,Florida,,Ice,Norovirus genogroup II,31,0.0,0.0
1113,1998,November,Florida,Restaurant,"Deli Meat, Multiple",Virus,22,0.0,
1116,1998,November,Florida,,"Pork, Unspecified; Rice, Unspecified; Beans, Unspecified","Escherichia coli, Shiga toxin-producing",21,5.0,0.0
1118,1998,November,Hawaii,Private Home/Residence,"Fish, Wahanui",Ciguatoxin,3,0.0,0.0
1119,1998,November,Hawaii,Private Home/Residence,"Fish, Baracuda",Ciguatoxin,4,0.0,0.0
1137,1998,November,Massachusetts,Restaurant,Pork Fried Rice,Salmonella enterica,6,0.0,0.0
1154,1998,November,Multistate,Private Home/Residence,"Stuffing, Unspecified",Salmonella enterica,10,0.0,0.0
1156,1998,November,New Jersey,,Noodle Casserole,Salmonella enterica,24,10.0,0.0
1172,1998,November,Ohio,Catering Service,Macaroni And Cheese,Staphylococcus aureus,51,0.0,0.0
